Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
30201,Bos Khnor,4405,590,13.3939
40605,Kouk Banteay,1300,738,56.7692
40205,Prey Kri,1949,669,34.3253
30407,Trapeang Pring,3266,394,12.0637
100104,Kampong Damrei,651,192,29.4931
40201,Chol Sar,1415,440,31.0954
31313,Thma Pun,2159,491,22.742
40601,Andoung Snay,1271,699,54.9961
40610,Rolea B'ier,2064,1657,80.281
30613,Srak,1531,691,45.1339
40609,Prey Mul,1031,397,38.5063
30904,Kaoh Pir,591,147,24.8731
30602,Hanchey,1195,187,15.6485
31306,Krouch,1690,1010,59.7633
31305,Kor,2581,989,38.3185
100504,Srae Char,3532,169,4.7848
40807,Tang Krasang,2129,994,46.6886
